,Id,Speed,RPM,Engine Load,Gear No._DBSCAN
385,133428,2,926,51,0.0
386,133427,3,901,35,0.0
387,133426,2,914,37,0.0
388,133425,0,849,35,0.0
389,133473,0,710,68,0.0
390,133472,6,914,35,0.0
391,133471,1,916,36,0.0
392,133470,0,865,34,0.0
393,133469,0,777,49,0.0
394,133500,0,781,49,0.0
395,133499,0,781,48,0.0
396,133498,0,780,48,0.0
397,133497,0,778,48,0.0
398,133496,0,778,49,0.0
399,133528,0,779,48,0.0
400,133527,0,778,49,0.0
401,133526,1,888,65,0.0
402,133525,8,979,32,0.0
403,133524,6,913,36,0.0
404,133572,1,919,35,0.0
405,133571,2,902,46,0.0
406,133570,3,911,43,0.0
407,133569,3,931,34,0.0
408,133568,0,818,36,0.0
409,133598,0,770,49,0.0
410,133597,0,750,49,0.0
411,133596,2,943,49,0.0
412,133595,2,911,49,0.0
413,133594,0,754,40,0.0
414,133633,0,771,47,0.0
415,133632,1,743,71,0.0
416,133631,11,743,12,0.0
417,133630,12,0,31,0.0
418,133629,0,1554,18,0.0
419,133656,12,1552,16,-1.0
420,133655,12,1552,15,-1.0
421,133654,12,1392,11,-1.0
422,133653,11,1404,16,-1.0
423,133652,11,1094,1,-1.0
424,133708,4,894,30,0.0
425,133707,1,893,35,0.0
426,133706,3,946,42,0.0
427,133704,1,919,34,0.0
428,133698,0,751,49,0.0
429,133728,0,778,47,0.0
430,133727,0,778,47,0.0
431,133726,0,780,47,0.0
432,133725,0,779,47,0.0
433,133724,0,780,49,0.0
434,133762,0,780,49,0.0
435,133761,0,781,49,0.0
436,133760,0,768,56,0.0
437,133759,3,951,55,0.0
438,133758,2,907,37,0.0
439,133786,1,846,70,0.0
440,133784,5,919,29,0.0
441,133783,2,890,52,0.0
442,133782,5,917,37,0.0
443,133781,1,918,36,0.0
444,133855,0,786,42,0.0
445,133854,0,832,57,0.0
446,133853,1,871,34,0.0
447,133852,1,909,36,0.0
448,133851,0,830,27,0.0
449,141253,0,769,49,0.0
450,133914,0,769,49,0.0
451,141285,0,769,49,0.0
452,141252,0,779,49,0.0
453,141284,0,779,49,0.0
454,133913,0,779,49,0.0
455,141251,0,779,49,0.0
456,141283,0,779,49,0.0
457,133909,0,779,49,0.0
458,133906,2,917,56,0.0
459,141282,2,917,56,0.0
460,141250,2,917,56,0.0
461,133904,3,892,47,0.0
462,141354,3,892,47,0.0
